pid;ID;Kapitelueberschrift;ErsteSeite;LetzteSeite;Anzahl_Seiten;PID_ersteSeite;Anzahl_weitereGliederungsebenen;DeeplinkingUrl
1411341;DTL2197;"[Titelblatt]";"[ungezählt]";"[ungezählt]";2;1411890;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1411341&childpid=1411890
1411341;DTL2198;"1. Heft";"[Seite I]";"Seite 116";131;1411892;8;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1411341&childpid=1411892
1411341;DTL2199;"2. Heft";"[Seite I]";"Seite 216";107;1412024;12;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1411341&childpid=1412024
1411341;DTL2200;"3. Heft";"[Seite I]";"Seite 324";123;1412128;10;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1411341&childpid=1412128
1411341;DTL2201;"4. Heft";"[Seite I]";"Seite 490";184;1412252;10;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1411341&childpid=1412252
1430840;DTL789;"Quartalschrift Titelblatt";"[Seite I]";"[Seite II]";2;1431037;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431037
1430840;DTL790;"Inhalt";"[Seite III]";"[Seite III]";1;1431039;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431039
1430840;DTL791;"Vorwort";"Seite IV";"Seite XII";9;1431040;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431040
1430840;DTL792;"Fink, Joseph von: Beiträge zur Geschichte der Landgerichte Hirschberg, Sulzbach und Amberg";"Seite 1";"Seite 91";91;1431049;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431049
1430840;DTL793;"Anhang zur Geschichte des Landgerichts Neunberg vor dem Walde";"Seite 92";"Seite 119";28;1431140;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431140
1430840;DTL794;"Mayer F. X.: Der Kelsgau und das Landgericht Hirschberg";"Seite 120";"Seite 129";10;1431168;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431168
1430840;DTL795;"Resch, Anton: Beschreibung der paulsdorfer´schen Kapelle";"Seite 130";"Seite 142";13;1431178;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431178
1430840;DTL798;"Merkur";"Seite 143";"Seite 157";15;1431195;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431195
1430840;DTL799;"Nekrologe";"Seite 157";"Seite 160";4;1431209;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431209
1430840;DTL800;"Literatur";"Seite 160";"[Seite 178]";19;1431212;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431212
1430840;DTL801;"Druckfehler und Verbesserungen";"Seite 179";"Seite 180";2;1431231;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1430840&childpid=1431231
1233359;DTL965;"[Titelseite]";"[Seite I]";"[Seite II]";2;1233600;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1233359&childpid=1233600
1233359;DTL967;"Inhalt";"[Seite III]";"[Seite IV]";2;1233604;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1233359&childpid=1233604
1233359;DTL968;"Vorwort";"[Seite V]";"Seite XIV";10;1233606;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1233359&childpid=1233606
1233359;DTL969;"Mayer, Franz Xaver: Monographien, oder topographisch-historische Ortsbeschreibungen des Landgerichtsbezirkes Ritenburg in der Oberpfalz";"[Seite 181]";"Seite 404";224;1233616;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1233359&childpid=1233616
1105282;DTL589;"Titelblatt";"[Seite I]";"[Abb.] St. Anna Kapelle. Tachenstein";2;1105429;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105429
1105282;DTL590;"Inhalt";"Seite III";"Seite IV";2;1105431;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105431
1105282;DTL591;"Verhandlungen des historischen Vereins";"[Seite V]";"[Seite VI]";2;1105433;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105433
1105282;DTL592;"Vorwort";"[Seite VII]";"Seite XII";6;1105435;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105435
1105282;DTL593;"Fink, Joseph von: Nachtrag zur Geschichte der Einführung des summarischen Civilverfahrens und dessen Verhältnisses zum ordentlichen Prozeß in der oberen Pfalz";"[Seite 405]";"Seite 410";6;1105441;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105441
1105282;DTL594;"Fink, Joseph von: Zur Geschichte der untergegangenen Ortschaften in der oberen Pfalz";"Seite 411";"Seite 445";35;1105447;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105447
1105282;DTL595;"Boeßner, Heinrich Johann Thomas von: Der Prebrunn bei Regensburg. Ein Beitrag zur Geschichte dieser Stadt";"Seite 446";"Seite 460";16;1105482;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105482
1105282;DTL596;"Gandershofer, Georg Maurus: Nähere Erklärung einiger dem historischen Verein zur Erläuterung empfohlenen Ortsnamen in Th. Rieds Cod. diplomat. Episcopat. Ratisbon. T. I. p. 172";"Seite 461";"Seite 463";3;1105499;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105499
1105282;DTL597;"Gumpelzhaimer, Christian Gottlieb: Zwei der ältesten Steinbilder in Regensburg, das eine wohl aus dem 6ten oder 8ten Jahrhundert, nämlich entweder Herzog Garibald 591 oder Herzog Thassilo II. 788; das andere aus dem 10ten Jahrhundert Herzog Arnold von Bayern 919 vorstellend";"Seite 464";"Seite 480";19;1105502;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105502
1105282;DTL598;"Fink, Joseph von: Zur Monographie des Landgerichtsbezirkes Ritenburg";"Seite 480";"Seite 485";6;1105522;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105522
1105282;DTL599;"Mayer, Franz Xaver: Bemerkungen zu vorstehendem Auszug aus den Saalbüchern des Herzogs Otto des Erlauchten und des Herzogs Ludwig des Strengen über das ehemalige Amt Ritenburg";"Seite 486";"Seite 488";3;1105528;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105528
1105282;DTL600;"Voith, Ignatz von: Technisch-historische Beiträge zu einer Geschichte des ehemaligen Eisenberg- und Hüttenwesens im Nordgaue";"Seite 489";"Seite 511";23;1105531;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105531
1105282;DTL601;"Zizelsberger, Joseph: Zweiter Nekrolog Franz Anton Jäger´s, Doctors der Philosophie und der Theologie, Licenziaten, gewesenen Pfarrers zu Pförring a. d. Donau";"Seite 512";"Seite 515";4;1105554;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105554
1105282;DTL602;"Literatur";"Seite 516";"Seite 528";13;1105558;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105558
1105282;DTL603;"Inhalts-Anzeige";"Seite 529";"Seite 532";4;1105571;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1105282&childpid=1105571
520961;DTL2157;"1. Heft";"Titelseite";"Seite 128";148;521500;10;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=520961&childpid=521500
520961;DTL2158;"2. Heft";"Titelseite";"[Leerseite]";129;521648;10;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=520961&childpid=521648
520961;DTL2159;"3.und 4. Heft";"Topographische Lage von Bodenwöhr";"Seite 492";261;521777;11;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=520961&childpid=521777
1329248;DTL873;"Fink, Joseph von:  Nachtrag zur Monographie des ehemaligen Amtes Murach in der oberen Pfalz";"Seite 165";"Seite 175";11;1329466;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329466
1329248;DTL874;"Fink, Joseph von: Nachlese zur Monographie der ehemaligen Grafschaft Sternstein in der Oberpfalz";"Seite 176";"Seite 182";7;1329477;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329477
1329248;DTL875;"Voith, Ignatz von: Der Hammer zu Meuschendorf, und der Hammer zu Zangenstein. Statistisch-historisch--topographisch beschrieben";"Seite 183";"Seite 198";16;1329484;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329484
1329248;DTL876;"Bedall, P. C. von: Verzeichniß der in der Fürstengruft zu Sulzbach in Gott ruhenden Durchlauchtigsten Ahnen des Königlichen Regentenhauses von Bayern";"[Seite 199]";"Seite 213";15;1329500;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329500
1329248;DTL877;"Diener, Johann Georg: Um welches Jahr fing die Reformation in Amberg an?";"Seite 214";"Seite 252";39;1329515;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329515
1329248;DTL878;"Fink, Joseph von: Beitrag zur Geschichte des ehemaligen Landgerichts Auerbach in der Oberpfalz";"Seite 253";"Seite 271";19;1329554;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329554
1329248;DTL879;"(anonym), Nekrolog des K. B. Reichs- und Staatsraths und Regierungspräsidenten der Oberpfalz und von Regensburg Herrn Eduard v. Schenk";"Seite 272";"Seite 286";15;1329573;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329573
1329248;DTL880;"Bücher-Katalog";"Seite 287";"Seite 322";36;1329588;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329588
1329248;DTL881;"Schuegraf, Joseph Rudolph: Chronik von Michaelsberg und Bodemstein, Königlichen Landgerichts Nittenau";"Seite 323";"Seite 339";17;1329624;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329624
1329248;DTL882;"Schuegraf, Joseph Rudolph: Ueber das in der Domprobstei zu Regensburg entdeckte römische Denkmal";"Seite 340";"Seite 352";13;1329641;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329641
1329248;DTL883;"Literatur";"Seite 353";"Seite 366";14;1329654;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1329248&childpid=1329654
